"ccode","year","revstate","fatality","hostlev"
"afg",1861,0,0,0
"afg",1862,0,0,0
"afg",1863,0,0,0
"afg",1864,0,0,0
"afg",1865,0,0,0
"afg",1866,0,0,0
"afg",1867,0,0,0
"afg",1868,0,0,0
"afg",1869,0,0,0
"afg",1870,0,0,0
"afg",1871,0,0,0
"afg",1872,0,0,0
"afg",1873,0,0,0
"afg",1874,0,0,0
"afg",1875,0,0,0
"afg",1876,0,0,0
"afg",1877,0,0,0
"afg",1878,0,0,0
"afg",1879,0,0,0
"afg",1880,0,0,0
"afg",1881,0,0,0
"afg",1882,0,0,0
"afg",1883,0,0,0
"afg",1884,0,0,0
"afg",1885,0,0,0
"afg",1886,0,0,0
"afg",1887,0,0,0
"afg",1888,0,0,0
"afg",1889,0,0,0
"afg",1890,0,0,0
"afg",1891,0,0,0
"afg",1892,0,0,0
"afg",1893,0,0,0
"afg",1894,0,0,0
"afg",1895,0,0,0
"afg",1896,0,0,0
"afg",1897,0,0,0
"afg",1898,0,0,0
"afg",1899,0,0,0
"afg",1900,0,0,0
"afg",1901,0,0,0
"afg",1902,0,0,0
"afg",1903,0,0,0
"afg",1904,0,0,0
"afg",1905,0,0,0
"afg",1906,0,0,0
"afg",1907,0,0,0
"afg",1908,0,0,0
"afg",1909,0,0,0
"afg",1910,0,0,0
"afg",1911,0,0,0
"afg",1912,0,0,0
"afg",1913,0,0,0
"afg",1914,0,0,0
"afg",1915,0,0,0
"afg",1916,0,0,0
"afg",1917,0,0,0
"afg",1918,0,0,0
"afg",1919,0,0,0
"afg",1920,0,0,0
"afg",1921,0,0,0
"afg",1922,1,0,3
"afg",1923,0,0,0
"afg",1924,0,0,0
"afg",1925,0,0,0
"afg",1926,0,0,0
"afg",1927,0,0,0
"afg",1928,0,0,0
"afg",1929,0,0,0
"afg",1930,0,0,0
"afg",1931,0,0,0
"afg",1932,0,0,0
"afg",1933,0,0,0
"afg",1934,0,0,4
"afg",1935,0,0,0
"afg",1936,0,0,0
"afg",1937,0,0,0
"afg",1938,0,0,0
"afg",1939,1,0,3
"afg",1940,1,0,3
"afg",1941,0,0,0
"afg",1942,0,0,0
"afg",1943,0,0,0
"afg",1944,0,0,0
"afg",1945,0,0,0
"afg",1946,0,0,0
"afg",1947,0,0,0
"afg",1948,0,0,0
"afg",1949,1,0,4
"afg",1950,1,2,4
"afg",1951,1,0,4
"afg",1952,0,0,0
"afg",1953,0,0,0
"afg",1954,0,0,0
"afg",1955,1,0,3
"afg",1956,0,0,0
"afg",1957,0,0,0
"afg",1958,0,0,0
"afg",1959,0,0,0
"afg",1960,1,0,4
"afg",1961,1,2,4
"afg",1962,0,0,0
"afg",1963,0,0,0
"afg",1964,0,0,0
"afg",1965,0,0,0
"afg",1966,0,0,0
"afg",1967,0,0,0
"afg",1968,0,0,0
"afg",1969,0,0,0
"afg",1970,0,0,0
"afg",1971,0,0,0
"afg",1972,0,0,0
"afg",1973,0,0,0
"afg",1974,0,0,0
"afg",1975,0,0,0
"afg",1976,0,0,0
"afg",1977,0,0,0
"afg",1978,0,0,0
"afg",1979,0,0,0
"afg",1980,0,0,3
"afg",1981,0,0,0
"afg",1982,0,0,0
"afg",1983,0,0,1
"afg",1984,0,0,0
"afg",1985,0,0,0
"afg",1986,0,0,0
"afg",1987,0,0,0
"afg",1988,0,0,0
"afg",1989,1,0,4
"afg",1990,0,0,0
"afg",1991,0,0,0
"afg",1992,0,0,0
"afg",1993,1,1,4
"afg",1994,1,0.5,2.5
"afg",1995,0.5,0,1
"afg",1996,0,0,0
"afg",1997,1,0,1
"afg",1998,0.5,1,1
"afg",1999,1,1,4
"afg",2000,1,1,4
"afg",2001,0.5,3.5,4
"afg",2002,1,1,4
"afg",2003,1,1,4
"afg",2004,1,1,4
"afg",2005,1,1,4
"afg",2006,0.5,0.5,4
"afg",2007,0,1,4
"afg",2008,0.5,0.5,4
"afg",2009,0.5,0.5,4
"afg",2010,0,0,4
"afg",2011,1,0,4
"afg",2012,1,0,4
"afg",2013,0,1,1
"afg",2014,0.25,0,1.75
"alb",1816,0,0,0
"alb",1817,0,0,0
"alb",1818,0,0,0
"alb",1819,0,0,0
"alb",1820,0,0,0
"alb",1821,0,0,0
"alb",1822,0,0,0
"alb",1823,0,0,0
"alb",1824,0,0,0
"alb",1825,0,0,0
"alb",1826,0,0,0
"alb",1827,0,0,0
"alb",1828,0,0,0
"alb",1829,0,0,0
"alb",1830,0,0,0
"alb",1831,0,0,0
"alb",1832,0,0,0
"alb",1833,0,0,0
"alb",1834,0,0,0
"alb",1835,0,0,0
"alb",1836,0,0,0
"alb",1837,0,0,0
"alb",1838,0,0,0
"alb",1839,0,0,0
"alb",1840,0,0,0
"alb",1841,0,0,0
"alb",1842,0,0,0
"alb",1843,0,0,0
"alb",1844,0,0,0
"alb",1845,0,0,0
"alb",1846,0,0,0
"alb",1847,0,0,0
"alb",1848,0,0,0
"alb",1849,0,0,0
"alb",1850,0,0,0
"alb",1851,0,0,0
"alb",1852,0,0,0
"alb",1853,0,0,0
"alb",1854,0,0,0
"alb",1855,0,0,0
"alb",1856,0,0,0
"alb",1857,0,0,0
"alb",1858,0,0,0
"alb",1859,0,0,0
"alb",1860,0,0,0
"alb",1861,0,0,0
"alb",1862,0,0,0
"alb",1863,0,0,0
"alb",1864,0,0,0
"alb",1865,0,0,0
"alb",1866,0,0,0
"alb",1867,0,0,0
"alb",1868,0,0,0
"alb",1869,0,0,0
"alb",1870,0,0,0
"alb",1871,0,0,0
"alb",1872,0,0,0
"alb",1873,0,0,0
"alb",1874,0,0,0
"alb",1875,0,0,0
"alb",1876,0,0,0
"alb",1877,0,0,0
"alb",1878,0,0,0
"alb",1879,0,0,0
"alb",1880,0,0,0
"alb",1881,0,0,0
"alb",1882,0,0,0
"alb",1883,0,0,0
"alb",1884,0,0,0
"alb",1885,0,0,0
"alb",1886,0,0,0
"alb",1887,0,0,0
"alb",1888,0,0,0
"alb",1889,0,0,0
"alb",1890,0,0,0
"alb",1891,0,0,0
