"country_name","country_code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"bahamas, the","bhs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.34,6.48,6.77,7.47,6.47,6.24,7.74,9.74,10.41,12.04,11.37,10.85,9.36,10.44,11.6,12.64,12.31,12.19,12.32,11.31,11.83,12.28,13.22,15.39,17.88,19.76,20.38,20.5,20.23,20.85,20.03,18.67,18.71,18.21,18.82,20.85,21.4,22.04,22.78,22.99,25.46,30.91,33.69,35.31,36.45,45.11,47.02,49.16,51.64,54.35,61.61,60.48,85.19,89.43,83.67,79.7,77.79
"bahrain, kingdom of","bhr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0.29,0.52,0.98,2.15,2.16,6.87,6.39,6.65,6.87,6.96,6.04,10.6,11.38,14.51,14.95,7.24,6.71,6.45,5.95,5.62,13.62,13.12,14.76,20,24.67,24.7,25.01,27.22,31.13,28.2,23.21,19.43,15.68,12.05,20.49,28.79,31.55,34.83,42.27,42.63,63.18,77.37,84.03,90.38,97.13,125.7,122.3,111.65,123.02,134.01
"bangladesh","bgd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.48,10.01,8.25,12.98,16.79,16.1,14.1,16.3,18.35,21.69,23.82,21.95,24.23,27.95,30.48,29.98,29.04,31.48,31.76,33.14,34.05,35.49,32.89,31.03,29.06,31.12,32.67,31.2,37.07,38.9,37.04,36.58,35.56,35.33,34.99,33.87,33.01,29.62,29.39,29.08,28.34,28.68,28.21,27.72,28.31,29.55,31.95,34.51,35.61,37.86,39.27,40.13
"barbados","brb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.09,22.13,25.25,30.09,26.81,20.94,23.53,28.25,27.7,25.46,24.22,26.18,27.28,28.13,27.98,30.73,33.79,35.89,37.29,35.33,40.51,41.8,44.47,45.56,55.02,55.9,56.12,56.91,50.54,50.1,56.61,62.61,66.09,66.57,66.48,68.2,69.79,69.05,72.63,88.52,96.04,98.7,109.35,118.56,122,131.89,136.45,143.58,115.02,109.47,128.39,130.18,116.94,113.44,104.38
"belarus, republic of","blr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.53,50.84,10.35,10.11,15.66,12.29,10.26,10.93,10.52,10.07,8.62,7.98,8.49,11.1,12.5,21.43,22.49,46.91,30.32,30.84,32.94,46.91,47.15,47.21,42.51,37.6,44.12,38.77,36.72,NA,NA
"belgium","bel",64.99,65.55,69.46,62.66,63.32,65.51,62.9,59.86,60.8,65.36,66.43,64.93,63.17,61.78,59.76,56.48,53.36,52.06,52.63,52.03,48.3,44.79,45.09,43.07,40.78,39.43,40.24,41.03,43.95,47.33,52.43,62.07,72.55,82.43,87.84,95.03,100.07,104.17,105.63,103.78,104.24,106.79,108.97,115.49,112.7,116.61,114.05,111.37,106.87,103.87,98.93,98.16,95.3,89.33,85.09,83.86,80.87,77.2,82.74,86.18,85.74,87.82,88.57,89.23,89.62,89.11,89.53,87.35,85.12,82.78,92.83,90.81,84.98,85.28,85.43
"belize","blz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,12.73,21.26,22.33,25.68,30.96,36.75,44.39,42.8,51.82,46.99,42.31,35.41,32.73,30,30.93,31.03,30.66,31.45,35.7,38.35,39.4,38.69,41.49,79,49.51,53.16,67.16,70.64,72.7,71.34,66.41,64.65,69.71,68.55,66.38,63.39,62.85,61.54,65.08,70.44,78.11,78.77,78.39,103.26,82.48,66.82,67.18,60.95
"benin","ben",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.48,4.79,3.86,5.79,6.96,9.68,11.21,12.93,13.36,18,18.11,30.89,45.7,54.46,48.51,51.68,47.18,48.58,47.17,50.33,45.27,44.03,41.8,41.88,64.61,48.25,43.43,42.94,41.57,39.41,39.59,37.99,30.77,23.38,21.51,26.98,8.37,14.29,18.31,18.75,21,21.86,19.54,18.5,22.28,30.9,35.92,39.6,41.08,41.23,46.14,50.29,54.19,54.9,54.03
"bhutan","btn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74,2.49,4.7,10.64,14.86,17.29,24.67,26.44,27.45,33.5,35.59,37.61,39.45,34.68,35.78,32.98,36.4,39.23,44.03,52.35,57.71,68.5,76.03,80.84,80.12,67.25,60.57,61.04,55.81,62.33,71.47,92.37,89.79,90.16,107.48,104.08,107.29,99.74,114.94,123.28,117.34,115.44,107.78
"bolivia","bol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.24,62.91,73.6,77.5,50.56,53.54,64.8,76.49,76.38,84.84,91.98,111.79,144.26,150.59,160.21,192.1,140.04,135.9,118.01,100.03,104.85,94.62,94.11,85.4,89.05,83.04,73.55,65.55,62.22,62.5,74.32,82.98,86.69,95.64,89.81,82.16,54.38,40.03,36.79,39.21,37.64,35.33,35.39,36.1,37.6,40.9,46.49,51.26,53.08,58.63,77.97,81.4,80.13,90.78,100.86
