"country_name","country_code","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"aruba, kingdom of the netherlands","abw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.833616787240343,-2.34348987854251,-2.10213042178121,0.113932756925782,0.0855949296487138,0.644936006775052,-0.835328183280908,-3.16873183928012,1.89611671075934,-8.53089795787914,-2.95701645128303,-2.54146039153469,-1.04585806569527,1.46595218641568,-2.63113359686215,-3.48673770377958,-6.42893375998143,-8.95492481345153,-6.04769668028548,-7.45853351889922,-1.47528558597803,-1.45497731365656,-2.58702008835143,-2.64102344153103,-0.246131980181822,-16.8047593344244,-9.86762639107047,-0.495905418460075,3.00390656032421,3.68740042959902,1.86239627381143,1.86525490514862,1.06377289002272,1.06405468374152,1.06261780649147,1.06215475265543,1.08675099595039
"afghanistan, islamic republic of","afg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0984580762828633,-2.1016692363811,-2.39283825475121,-0.917107414635355,0.683695765173601,-2.46171938840271,-3.86359379179839,-1.76059209020972,0.933343625495382,-0.671821697524396,0.182057052453265,-0.630945569561263,-1.7187968084429,-1.37770032868547,0.127257984493361,-0.673105906142619,1.63419574024946,-1.05808111785046,-2.24279939297291,-0.484938817910689,-0.997336716711027,-1.32970350404724,-0.5480518037099,-0.890761370358726,NA,NA,NA,NA,NA,NA
"angola","ago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.21605782848413,-0.268831285693349,-5.92415330041966,-9.39890250970986,2.0214100844305,2.80473000629075,-2.24491219657762,-4.10213245684684,1.03248527208015,6.40389284028305,8.41508432598124,3.81256675602959,-3.82090428531468,-6.83032755730892,2.95555805230502,7.17491797673992,3.67293319199977,-0.282532206198782,-5.07802197137564,-2.58208548736783,-3.93417815396481,-5.68272120229379,1.99879572121235,-0.195409511912615,-3.04626106221528,1.35204334716975,1.77913599863076,-2.49180028798176,-1.19232716521764,-4.07023657736519,-2.44514548759852,-3.60932869661323,-3.93593039427163,-3.97190261991725,-3.83144075373648,-3.87960432973024
"albania","alb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.9020449032266,-9.92555647572156,-8.84142794154294,-7.77206413242131,-6.8371659101154,-6.21161079411075,-5.00610911565439,-5.16274812625749,-3.45778795451933,-3.26321621612641,-3.17913685494511,-4.88419809059295,-6.58647823434475,-3.52012185890292,-3.5163119530813,-3.44060038285451,-5.21521888300839,-5.45754415474053,-4.31781063309822,-1.49758991353949,-1.40555402773302,-1.5798042752427,-1.84274877887535,-6.66514714234533,-4.57115229577775,-3.63872264346316,-1.31876797462719,-0.724566570842139,-1.7464653988777,-2.0215916503924,-2.24131545774459,-2.25379046490524,-2.21763260073963,-2.29261884687834,-2.24975014017581
"andorra, principality of","and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.657774717849933,0.977651404468789,1.76441960296107,1.85483838872519,-0.0814270898271465,-1.43597967101371,-2.82819790080235,-3.19171490180191,-3.50961629852846,-0.343485233888353,0.417490140839668,-1.64817808852268,3.36052358247316,2.14337282646212,1.65470616979054,4.08261488616128,3.34910321527548,2.6802372319073,2.3149459771787,-1.04976446313643,-1.15477494565933,4.84509837087384,2.15028222865925,2.78346315557054,3.49842473909524,2.2384966615953,1.85995183285818,1.87596852059293,1.89160765368643,1.88124933959239,1.74954668317409
"united arab emirates","are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89017044509507,3.33721759818543,-2.88574783524593,-1.7836441879362,3.58260364924912,0.916731714750178,6.71135550233923,0.995933004949331,1.30605227757555,10.6603575749203,1.20532094469928,-1.23783931707939,2.35160596083163,6.40020821226535,15.9871440400552,20.1500289450359,17.1259310720628,17.6379329003646,-6.12663417848479,0.518656071678308,5.05323716381662,8.58820780283723,7.99479251073143,1.74324644597383,-6.35433808132644,-2.95169034012766,-0.159098321102596,3.65390610392736,2.49505314772841,-2.41515334547819,3.96331304940487,9.80475332745583,5.81743128287465,6.41480645847364,5.15074664727807,4.8923629346903,4.8296762827991,4.70829995903514,4.69364411133234,4.5764841643585,4.48910694427349
"argentina","arg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0242835540832399,-1.24980235536405,-2.07460616122982,-2.81061043187092,-1.83762135499995,-1.82743435902943,-3.7050861235611,-3.41675118250397,-5.36414634431815,-1.91014990213182,1.50014608070146,3.96689502983894,3.34062302319346,1.65007027501854,0.756974472382668,0.351972891914477,-1.830044406372,-1.39345466355708,-2.74564845953819,-3.01805560014323,-3.25382842728551,-4.2524290852903,-6.00055803090057,-6.65466898257521,-6.69334113157833,-5.44114523017028,-4.44475766751875,-8.67407139301434,-4.33295192882827,-3.83638509310149,-5.3295890898663,0.457864697014852,-0.381012859688312,0.450541597672324,0.373856617107293,0.28037862577016,0.824278353798387,1.14430603474953,1.28027317205829
"armenia, republic of","arm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.97635062668285,-1.95041706034561,-2.33424050872745,-1.7565665083734,-7.68653220870173,-4.97943362604595,-2.86799794564273,-1.49339063635536,-1.59290904142959,-1.94269716882729,-4.829421492235,-5.57312622602776,-4.69901725019778,-1.75672106059476,-0.976103932516356,-5.40436465629044,-4.60249724423737,-2.11582997693781,-2.01873210283813,-3.67335617197996,-3.73737582320303,-4.50802068591508,-3.52303557621208,-2.85151832188528,-2.34801588317099,-1.81511829563013,-1.32075501428492
"antigua and barbuda","atg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123090968171198,-3.91026995931439,-0.811756763088175,-2.44535677693241,-4.33278858044924,-3.89071882868854,-1.61118297630993,0,-1.62036946910332,-3.07630747660652,-4.50302754376806,-8.5756836404373,-8.8293969288822,-7.32195779473176,-3.90142655056314,-4.29427978957863,-6.62450047278688,-4.97875186958846,-4.71565840860941,-15.8009364064604,-0.244920259878364,-3.09044277572173,-0.974524713062932,-3.82914519518551,-2.60145041711117,-2.41759197568882,-0.140269673627338,-2.71707249566252,-2.42978241156632,-3.64018739900266,-6.22677246695457,-4.51980145732291,-2.85745147341256,-1.65802556102891,1.64632696424351,3.14064347740734,-0.649080408426121,-1.14910960236847,-0.98173625932874,-0.959517996981304,-0.957856589792778,-0.945569961063754
"australia","aus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.476684500786872,0.923528488972507,-0.231330519238749,-2.78422966475026,-4.73821342367877,-4.72003124009797,-3.78708363711605,-2.5987227624314,-1.45367196782754,-0.492189543539983,-0.245300974162479,0.664529995836096,1.24800178877111,-0.0302007874069549,0.192234320429666,1.04910284779681,1.32100263575359,1.70399891487461,1.7682109797628,1.47153390121651,-1.09763214974455,-4.54746389088072,-5.10011873230432,-4.51126007473225,-3.49588093557381,-2.79764396909375,-2.9059361316582,-2.77534607914668,-2.41473788479301,-1.71150956304931,-1.25400273782271,-4.39202792912605,-8.70438420828222,-6.35138360128952,-2.2058950449653,-1.2633303898281,-2.25135366581233,-2.78238425017263,-2.43368042203825,-2.05197469775203,-1.88256870732516,-1.65690122638326,-1.48180180116805,-1.44755875476396
