"ccode","country","year","vfi"
"bih","bosnia and herzegovina",2006,0.116143710911274
"bih","bosnia and herzegovina",2007,0.134324908256531
"bih","bosnia and herzegovina",2008,0.184338167309761
"bih","bosnia and herzegovina",2009,0.129274487495422
"bih","bosnia and herzegovina",2010,0.128311932086945
"bih","bosnia and herzegovina",2011,0.0682637915015221
"bih","bosnia and herzegovina",2012,0.16119410097599
"bih","bosnia and herzegovina",2013,0.074438638985157
"bih","bosnia and herzegovina",2014,0.0662167146801949
"bih","bosnia and herzegovina",2015,-0.0446138232946396
"bih","bosnia and herzegovina",2016,-0.0085173659026622
"bih","bosnia and herzegovina",2017,0.0299059767276049
"bih","bosnia and herzegovina",2018,0.0705577284097672
"bih","bosnia and herzegovina",2019,0.0231863837689161
"bih","bosnia and herzegovina",2020,0.180754020810127
"blr","belarus",2003,0.143214225769043
"blr","belarus",2004,0.126233622431755
"blr","belarus",2005,0.204460263252258
"blr","belarus",2006,0.280897080898285
"blr","belarus",2007,0.309053361415863
"blr","belarus",2008,0.2354806214571
"blr","belarus",2009,0.290299475193024
"blr","belarus",2010,0.346516758203506
"blr","belarus",2011,0.291781783103943
"blr","belarus",2012,0.280098080635071
"blr","belarus",2013,0.27486127614975
"blr","belarus",2014,0.226176083087921
"blr","belarus",2015,0.180527076125145
"blr","belarus",2016,0.131316944956779
"blr","belarus",2017,0.147252678871155
"blr","belarus",2018,0.16658690571785
"blr","belarus",2019,0.179397493600845
"blr","belarus",2020,0.219363883137703
"bra","brazil",2010,0.378083258867264
"bra","brazil",2011,0.346231371164322
"bra","brazil",2012,0.364413231611252
"bra","brazil",2013,0.351054340600967
"bra","brazil",2014,0.36591362953186
"bra","brazil",2015,0.363676190376282
"bra","brazil",2016,0.369194149971008
"bra","brazil",2017,0.332861006259918
"bra","brazil",2018,0.340566784143448
"bra","brazil",2019,0.314055800437927
"bra","brazil",2020,0.356811881065369
"can","canada",1990,0.204034268856049
"can","canada",1991,0.255569130182266
"can","canada",1992,0.280913800001144
"can","canada",1993,0.261411517858505
"can","canada",1994,0.221254482865334
"can","canada",1995,0.204409047961235
"can","canada",1996,0.161333248019218
"can","canada",1997,0.13362255692482
"can","canada",1998,0.140455767512321
"can","canada",1999,0.111904188990593
"can","canada",2000,0.111769065260887
"can","canada",2001,0.172786146402359
"can","canada",2002,0.188163444399834
"can","canada",2003,0.184531345963478
"can","canada",2004,0.159045249223709
"can","canada",2005,0.140557304024696
"can","canada",2006,0.137373343110085
"can","canada",2007,0.151379436254501
"can","canada",2008,0.183204174041748
"can","canada",2009,0.248929798603058
"can","canada",2010,0.263799697160721
"can","canada",2011,0.241777986288071
"can","canada",2012,0.225674778223038
"can","canada",2013,0.207022964954376
"can","canada",2014,0.184381991624832
"can","canada",2015,0.192633882164955
"can","canada",2016,0.188684701919556
"can","canada",2017,0.181648716330528
"can","canada",2018,0.181531816720963
"can","canada",2019,0.17850536108017
"can","canada",2020,0.233341917395592
"che","switzerland",1990,0.145852982997894
"che","switzerland",1991,0.193361580371857
"che","switzerland",1992,0.198243081569672
"che","switzerland",1993,0.15866482257843
"che","switzerland",1994,0.157545432448387
"che","switzerland",1995,0.150414139032364
"che","switzerland",1996,0.157417625188828
"che","switzerland",1997,0.163817226886749
"che","switzerland",1998,0.151837378740311
"che","switzerland",1999,0.117167942225933
"che","switzerland",2000,0.11714182049036
"che","switzerland",2001,0.127074480056763
"che","switzerland",2002,0.128861233592033
"che","switzerland",2003,0.158337011933327
"che","switzerland",2004,0.148858547210693
"che","switzerland",2005,0.134702414274216
