"country_name","country_code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"bahamas, the","bhs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.2,0.23,0.28,0.36,0.45,0.57,0.64,0.7,0.81,0.91,0.94,1.01,1.15,1.4,1.31,1.44,1.53,1.78,2.17,2.6,2.69,3.03,3.37,3.6,3.92,4.24,4.67,4.85,5.47,5.22,5.13,5.13,5.1,5.37,5.65,5.95,6.33,6.83,7.68,8.08,8.32,8.88,8.87,9.06,9.84,10.17,10.62,10.53,9.98,10.1,10.07,10.72,10.4,10.97,11.67,11.75,12.24,12.62,13.02,9.96,11.37,13.14,14.34,14.76
"bahrain, kingdom of","bhr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.14,0.15,0.16,0.16,0.17,0.18,0.19,0.19,0.21,0.24,0.32,0.43,0.46,0.69,0.94,1.1,1.24,1.41,1.59,1.67,1.71,1.78,1.68,1.31,1.42,1.76,1.83,1.95,2.04,2.13,2.35,2.51,2.66,2.77,2.87,2.74,2.97,3.55,3.6,3.76,4.34,5.15,6.26,7.25,8.52,10.08,8.99,10.08,11.25,12.02,12.72,13.07,12.23,12.74,13.99,14.88,15.21,13.47,15.36,17.47,17.37,17.65
"bangladesh","bgd",NA,NA,NA,NA,NA,NA,NA,NA,NA,30.01,33.93,34.01,38.61,37.71,40.83,43.12,48.44,48.4,49.76,53.26,67,65.21,58.56,97.67,148.41,243.66,216.13,227.27,284.46,340.98,384.09,440.67,494.84,558.55,670.01,768.71,865.49,995.48,1094.27,1218.3,1372.45,1511.84,1635.29,1715,1852.38,2086.38,2275.24,2467.74,2718.42,2952.96,3216.44,3489.97,3764.81,4172.57,4591.53,5115.98,5777.98,6586.13,7531.07,8446.15,9553.83,10970.84,12640.43,14362.06,16096.05,18158,20758.21,23243.07,26392.48,29514.29,31704.69,35301.85,39717.16,44908.42,50026.54
"barbados","brb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.13,0.14,0.15,0.17,0.18,0.2,0.21,0.24,0.27,0.31,0.37,0.41,0.5,0.69,1.02,1.15,1.2,1.35,1.63,2.1,2.31,2.41,2.56,2.79,2.92,3.21,3.53,3.75,4.15,4.17,4.18,4.03,4.27,4.45,4.7,5.03,5.33,6.11,6.42,6.62,6.61,6.73,6.96,7.51,8.43,9.4,10.55,10.8,10.13,10.28,10.6,10.47,10.68,10.73,10.58,10.66,11.03,11.26,11.58,10.34,10.55,12.51,13.44,14.33
"belarus, republic of","blr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.01,0.01,0.02,0.04,0.07,0.3,0.95,1.78,2.7,3.78,5.17,6.73,8.2,10.05,13.42,14.21,17.05,30.72,54.76,67.07,80.58,89.91,94.95,105.75,122.32,134.73,149.72,173.15,193.74,216.1,230.32
"belgium","bel",8.23,9.71,10.21,10.27,10.7,11.37,12.09,12.83,12.93,13.39,14.22,15.13,16.18,17.39,19.47,21.19,22.75,24.39,26.07,28.92,32.18,35.26,39.47,44.84,52.6,58.21,66.16,71.55,76.84,82.18,89.38,93.71,101.4,107.43,116.06,123.44,129.2,134.41,143.81,155.94,165.35,173.23,181.9,187.35,197.44,210.49,214.29,224.1,232.62,242.31,256.38,264.34,273.26,281.2,296.82,310.04,325.15,343.62,351.74,347.74,363.24,378.75,387.94,394.62,404.96,415.54,428.47,443.41,459.49,479.45,463.75,506.02,563.54,596.32,614.54
"belize","blz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.05,0.05,0.06,0.09,0.08,0.08,0.07,0.04,0.05,0.06,0.07,0.09,0.16,0.21,0.25,0.24,0.28,0.28,0.37,0.46,0.48,0.48,0.5,0.56,0.56,0.61,0.71,0.84,0.96,1.09,1.19,1.39,1.51,1.54,1.64,1.7,1.75,1.86,2,2.28,2.35,2.49,2.62,2.8,2.95,3.18,3.41,3.48,3.38,3.49,3.65,3.82,4.07,4.28,4.39,4.48,4.53,4.59,4.78,4.09,4.84,5.69,6.13,6.85
"benin","ben",NA,NA,NA,NA,NA,NA,NA,NA,NA,134.34,146.49,150.15,148.21,168.53,187.66,203.31,218.25,228.26,244.3,256.52,278.27,291.53,329.97,360.68,381.59,261.23,294.89,342.35,381.75,448.14,518.03,447.59,518.44,569.4,636.18,682.03,671.54,681.7,703.28,695.77,729.29,765.86,812.37,880.23,1212.59,1480.05,1650.71,1809.38,1979.46,2263.34,2499.93,2685.13,2909.67,3102.02,3264.37,3462.85,3674.8,3909.98,4365.33,4580.01,4718.03,5039.21,5688.29,6182.56,6559.33,6732.81,7005.23,7375.3,7915.66,8432.25,9008.81,9809.69,10854.51,11934.9,12881.53
"bhutan","btn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,0.3,0.31,0.34,0.38,0.39,0.43,0.48,0.51,0.55,0.63,0.77,0.75,0.82,0.88,0.79,0.88,1.04,1.24,1.42,1.64,1.91,2.15,2.48,3.09,3.8,4.42,5.13,5.77,6.43,7.22,8.27,9.68,11.11,12.97,15.29,17.79,19.83,21.98,25.3,28.78,31.85,35.63,40.33,47.32,54.62,60.88,71.29,85.22,98.88,109.67,120.7,133.92,149.38,163.58,172.71,184.66,187.38,193.39,216.24,238.6,259.8
"bolivia","bol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,2.37,7.61,8.88,10.81,12.69,15.44,19.13,22.01,24.46,27.64,32.24,37.54,41.64,46.82,48.16,51.93,53.79,56.68,61.9,69.63,77.02,91.75,103.01,120.69,121.73,137.88,166.23,187.15,211.86,228,228.03,234.53,259.18,278.39,282.59,253.11,279.21,304.1,311.89,332.05
