"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","SECTOR","FREQUENCY","SCALE","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"IMF.STA:FD(6.0.0)","AUS.VFI_PT.S1311MIXED.A","OBS_VALUE","Australia","Vertical fiscal imbalance, Percent","Central government","Annual","Units","","-0.537585914134979","-0.432720541954041","-0.255067139863968","-0.209621146321297","-0.196097657084465","","","","","-0.333860516548157","-0.401182889938354","-0.377730250358582","-0.33456951379776","-0.408113867044449","-0.391768902540207","-0.420534014701843","-0.449447751045227","-0.436886310577393","-0.461238890886307","-0.219943895936012","-0.184823170304298","-0.175255209207535","-0.178756609559059","-0.240676194429398","-0.205469697713852","-0.193606525659561","-0.206181764602661","-0.248748049139977","-0.304587781429291","-0.318435192108154","-0.0476596727967262"
"IMF.STA:FD(6.0.0)","JPN.VFI_PT.S1311MIXED.A","OBS_VALUE","Japan","Vertical fiscal imbalance, Percent","Central government","Annual","Units","","-0.993052005767822","","","","-0.680144429206848","-0.642260193824768","-0.652124226093292","-0.734602093696594","0.0820101276040077","-0.352610200643539","-0.458250522613525","-0.568810820579529","-0.449881881475449","-0.449002474546433","-0.701745092868805","-0.916062235832214","-1.00044572353363","-0.948467791080475","-0.552777230739594","-0.354047685861588","-0.567128717899323","-0.574577987194061","-0.690099716186523","-0.782534897327423","-1.02649545669556","-1.13163483142853","-1.15157461166382","-1.30189967155457","-1.37011897563934","-1.26995122432709","-0.621219038963318"
"IMF.STA:FD(6.0.0)","BIH.VFI_PT.SNG.A","OBS_VALUE","Bosnia and Herzegovina","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","0.0400429628789425","0.116143710911274","0.134324908256531","0.184338167309761","0.129274487495422","0.128311932086945","0.0682637915015221","0.16119410097599","0.074438638985157","0.0662167146801949","-0.0446138232946396","-0.00851736590266228","0.0299059767276049","0.0705577284097672","0.0231863837689161","0.180754020810127"
"IMF.STA:FD(6.0.0)","PER.VFI_PT.S1311MIXED.A","OBS_VALUE","Peru","Vertical fiscal imbalance, Percent","Central government","Annual","Units","","","","","","","-0.173709690570831","-0.593720257282257","-0.331883728504181","-0.208816513419151","-0.141912415623665","-0.186896249651909","-0.192327916622162","-0.379234969615936","-0.356206864118576","-0.467702239751816","-0.511297225952148","-0.833968341350555","-0.944194138050079","-0.962046802043915","-0.533590614795685","-0.681494414806366","-0.790819644927979","-0.924747288227081","-0.777928173542023","-0.603283524513245","-0.348860710859299","-0.447141915559769","-0.342954188585281","-0.459471821784973","-0.471415787935257","-0.0203827098011971"
"IMF.STA:FD(6.0.0)","CRI.VFI_PT.S1311MIXED.A","OBS_VALUE","Costa Rica","Vertical fiscal imbalance, Percent","Central government","Annual","Units","","","","","","","","","","","","","","0.191439792513847","0.11631216853857","0.0887444242835045","0.0502954237163067","-0.0170247629284859","-0.121915094554424","0.0190390199422836","0.148581817746162","0.194809123873711","0.163596302270889","0.183264836668968","0.205686688423157","0.252860546112061","","","","","",""
"IMF.STA:FD(6.0.0)","ALB.VFI_PT.S1311MIXED.A","OBS_VALUE","Albania","Vertical fiscal imbalance, Percent","Central government","Annual","Units","","","","","","","","","","","","","","0.20517410337925","0.0437425673007965","0.0529652424156666","","","","","","","-0.125522628426552","-0.128806382417679","-0.0858390182256699","-0.194333866238594","-0.186785578727722","-0.258978396654129","-0.366413176059723","-0.374923497438431","-0.340028166770935","-0.0784721225500107"
"IMF.STA:FD(6.0.0)","CHE.VFI_PT.SNG.A","OBS_VALUE","Switzerland","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","0.145852982997894","0.193361580371857","0.198243081569672","0.15866482257843","0.157545432448387","0.150414139032364","0.157417625188828","0.163817226886749","0.151837378740311","0.117167942225933","0.11714182049036","0.127074480056763","0.128861233592033","0.158337011933327","0.148858547210693","0.134702414274216","0.101878352463245","0.0805487260222435","0.113600365817547","0.135103672742844","0.146474376320839","0.143735647201538","0.16605569422245","0.191305786371231","0.176660746335983","0.151055380702019","0.14183597266674","0.135135173797607","0.125197604298592","0.127436354756355","0.172394722700119"
"IMF.STA:FD(6.0.0)","USA.VFI_PT.S1311MIXED.A","OBS_VALUE","United States","Vertical fiscal imbalance, Percent","Central government","Annual","Units","0.064653217792511","0.125386595726013","0.182330131530762","0.109924748539925","0.0398538522422314","-0.0379200354218483","-0.118302345275879","-0.173013851046562","-0.278247356414795","-0.376758277416229","-0.409401595592499","-0.507904887199402","-0.384237796068192","-0.143286526203156","-0.039078027009964","-0.0391816645860672","-0.115751542150974","-0.222121208906174","-0.199852928519249","0.0304483938962221","0.255247116088867","0.205679506063461","0.11810427904129","0.0219449494034052","-0.191383734345436","-0.232549235224724","-0.309864550828934","-0.249805018305779","-0.333954006433487","-0.112191960215569","-0.0741502270102501","0.321171879768372"
"IMF.STA:FD(6.0.0)","UZB.VFI_PT.SNG.A","OBS_VALUE","Uzbekistan, Republic of","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2378269135952","0.195395097136498","0.369379907846451","0.324995279312134","0.446119606494904"
"IMF.STA:FD(6.0.0)","MNG.VFI_PT.SNG.A","OBS_VALUE","Mongolia","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","","","0.128481730818748","0.362613379955292","0.322175592184067","0.362794518470764","0.385383129119873","0.389605522155762","0.420946329832077","0.430768191814423","0.508023142814636","0.453246742486954","0.402151703834534","-0.139802783727646","","","0.069801039993763","-0.0364789701998234","-0.0991966426372528","-0.759158849716187","-0.573932290077209","-0.468514323234558","-0.227800220251083","0.564457833766937","0.57427853345871","0.594403386116028","0.59334260225296","0.472666382789612","0.420221567153931","0.0619631633162498","0.567490637302399"
"IMF.STA:FD(6.0.0)","SLV.VFI_PT.SNG.A","OBS_VALUE","El Salvador","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","0.355406552553177","0.422310769557953","0.343949049711227","0.553457379341125","0.420833319425583","0.492335826158524","0.566063344478607","0.493027657270432","0.497327446937561","0.561169683933258","0.553992867469788","0.549828171730042","0.487402826547623","0.477539092302322","0.38950788974762","0.530489087104797","0.559245526790619","0.541353404521942","0.533583164215088"
"IMF.STA:FD(6.0.0)","GEO.VFI_PT.SNG.A","OBS_VALUE","Georgia","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","","","","","","0.807692289352417","0.855099499225616","0.776267647743225","0.72615385055542","0.754157602787018","0.817633271217346","0.877131402492523","0.854064047336578","0.836352288722992","0.904163420200348","0.87518572807312","0.834087252616882","0.748448550701141","0.786538302898407","0.762171804904938","0.767578363418579","0.742585957050323","0.763944208621979","0.709837317466736","0.675903618335724","0.689078986644745","0.6519935131073","0.598992109298706","0.566007614135742","0.639759361743927","0.740585505962372"
"IMF.STA:FD(6.0.0)","MDA.VFI_PT.SNG.A","OBS_VALUE","Moldova, Republic of","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","0.267555385828018","0.295206129550934","0.428085774183273","0.46946993470192","0.452030599117279","0.550056338310242","0.587862133979797","0.613462448120117","0.597750902175903","0.495565861463547","0.462999701499939","0.655128419399261","0.709285140037537","0.673307597637177","0.706442534923553","0.705676198005676","0.743756651878357","0.741999268531799"
