"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"IMF.FAD:FM(5.0.0)","GX502.G2M_S13_POGDP_PT.A","OBS_VALUE","Emerging and Middle-Income Asia","Expenditure, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.05738567317215","21.09542178339422","21.9623749090777","21.1056739295848","19.84936535320348","17.50131613422981","17.52510599255376","16.05177684943272","15.70652314905342","16.71067554044184","17.42272975896694","18.81357177125177","19.06328755937985","20.56319588504417","21.19824871915223","21.05544297243096","20.40398444554276","20.03576919462739","19.98889236432969","20.08328978921418","22.87863287369886","25.00573615765062","24.37421662228025","25.59697414980804","26.52432950437367","26.74930211753122","26.92715287896064","29.0197729597708","29.36877853461985","29.40890790716091","30.03202007197095","30.7635205218142","32.75232064366505","30.56495823398564","30.78832648719163","30.68586155201095","30.78363708121569","30.57970544755243","30.58282504131188","30.79524246471344","30.75286988112433","30.64527092028707","30.61993120714383","30.60110218865968"
"IMF.FAD:FM(5.0.0)","GX206.G1_S13_POGDP_PT.A","OBS_VALUE","Emerging and Middle-Income Latin America","Revenue, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.09285352578989","19.50010891275743","","","","","19.05749184185436","19.99611827842957","23.82013173368638","24.91868640049703","25.1438591926671","26.11506559262757","27.88441905000116","28.53924004166252","29.24161610081496","30.9180202806156","29.13819619244742","29.54871489315785","30.66667086210336","30.60621479138872","30.08765677353653","29.26588236719179","29.32828538309582","29.45509473143773","29.12398513961688","29.03751949865005","29.33425477423846","27.35247780505227","28.81541392666796","30.22136767671556","29.30087089924824","29.55958701034851","29.45702463217899","30.05604416503925","29.96911631880595","30.07534635757609","30.14897072578176","30.19908173144876","30.2314512434665"
"IMF.FAD:FM(5.0.0)","GX777.GNLB_S13_POGDP_PT.A","OBS_VALUE","Emerging and Middle-Income Middle East and North Africa and Pakistan","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.172674866644778","-3.207978972341117","-4.43811347118003","-5.985942383994703","-4.761440607787386","-2.100165684471898","-0.2872081553562206","-0.3335332105588515","-3.94073542319415","-0.4766162691784332","5.476951007013999","0.4398314361143454","-1.755959189429268","1.073911559339317","3.031086746520445","8.436516098148878","9.073927313827641","7.015431119376954","9.311604068006838","-2.866333702302937","0.82637228588789","3.464582929638568","4.914819373140501","2.22585497871551","-1.597434501827138","-7.029057649583553","-7.982207850187765","-4.69474104961392","-1.791747493239095","-2.69709027188811","-7.86715915669122","-2.138831272652497","2.523169056377441","-0.596156428070538","-2.058805157789324","-3.269782534316188","-2.923818677094483","-2.389473827255633","-2.183771108798825","-1.653017652332486","-1.501946232286087","-1.534015413826553"
"IMF.FAD:FM(5.0.0)","GX777.G2M_S13_POGDP_PT.A","OBS_VALUE","Emerging and Middle-Income Middle East and North Africa and Pakistan","Expenditure, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.85701972679208","25.63433885500601","32.7449314192874","31.0525160345753","28.7781614420782","26.38410059465571","25.31621917247765","25.33847813272165","24.86195872928501","23.0053036443471","21.61439675323467","23.80895798000748","26.99038310843817","25.38929849552109","26.13974526562151","24.8518239204849","24.94820194827779","24.82271177146927","27.31444542590533","31.40372812772964","28.94200746299105","28.19290065566315","29.29243590331484","30.73383874999698","31.83492883784703","31.43467429649374","30.58444643826725","28.70586226168721","28.98311663149683","29.81671826606619","32.82741176004627","27.70902003462043","25.71774720817119","27.56987539271404","28.27214521141958","28.42825629044389","28.09899875023412","27.80801799858437","27.23684659697261","26.69946350796771","26.47478082390113","26.33631365946481"
"IMF.FAD:FM(5.0.0)","GX777.G1_S13_POGDP_PT.A","OBS_VALUE","Emerging and Middle-Income Middle East and North Africa and Pakistan","Revenue, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.1740206926037","21.3521277559314","25.83742043998842","25.0665736505806","24.01672083429082","24.28393491018379","25.02901101712143","25.00494492216279","20.92122330609085","22.52868737516865","27.09134776024869","24.24878941612181","25.23442391900888","26.46321005486041","29.17083201214197","33.28834001863378","34.02212926210543","31.83814289084624","36.62604949391217","28.53739442542669","29.76837974887895","31.65748358530173","34.20725527645535","32.95969372871248","30.2374943360199","24.40561664691021","22.60223858807948","24.01112121207329","27.19136913825774","27.11962799417808","24.96025260335505","25.57018876196792","28.2409162645486","26.97371896464352","26.21334005363023","25.15847375612769","25.17518007313963","25.41854417132873","25.05307548817376","25.04644585563523","24.97283459161504","24.80229824563826"
"IMF.FAD:FM(5.0.0)","GX502.GNLB_S13_POGDP_PT.A","OBS_VALUE","Emerging and Middle-Income Asia","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.378290268681167","-3.338799728942412","-3.481431602562263","-3.059303890627387","-3.133921020916034","-2.350258786897583","-2.652395127507742","-1.431972246086419","-1.182274208637111","-2.125647139809036","-3.450733451299741","-4.070648026188294","-4.008165652591247","-4.332813216162285","-4.561757940378107","-4.009495414632181","-2.938635475214351","-2.186748479449193","-1.614681634115581","-0.9273505720735447","-1.397286719133202","-3.222519772954056","-2.07909343031155","-1.50615333566514","-1.570418814331149","-1.771739526074333","-1.6817907583267","-3.101313387504421","-3.696938604917552","-3.575464392023648","-4.131000976725919","-5.620839446359294","-9.475375862200154","-6.291057519784376","-7.040497672526194","-6.397418648095859","-6.624115526580167","-7.136694791856027","-7.352466774138005","-7.440319859248715","-7.285294834932487","-7.112032597120643","-7.02641006482939","-7.005610378300719"
"IMF.FAD:FM(5.0.0)","GX502.G1_S13_POGDP_PT.A","OBS_VALUE","Emerging and Middle-Income Asia","Revenue, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.31150109671604","17.30216744713922","18.26261869259626","17.67703854539142","16.51275958218062","15.15105734733223","14.87271086504602","14.61980460334631","14.5242489404163","14.58502840063281","13.97199630766718","14.74292374506348","15.0551219067886","16.23038266888189","16.63649077877414","17.04594755779879","17.46534897032841","17.84902071517819","18.37421073021411","19.15593921714065","21.48134615456566","21.7832163846966","22.29512319196872","24.09082081414294","24.9539106900425","24.97756259145689","25.24536212063394","25.91845957226637","25.6718399297023","25.83344351513726","25.90101909524502","25.1426810754549","23.2769447814649","24.27390071420126","23.74782881466544","24.28844290391506","24.15952155463551","23.44301065569641","23.23035826717388","23.35492260546473","23.46757504619186","23.53323832316643","23.59352114231447","23.59549181035898"
"IMF.FAD:FM(5.0.0)","GX905.G2M_S13_POGDP_PT.A","OBS_VALUE","Emerging and Middle-Income Europe","Expenditure, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.99067303245356","38.02825683343253","37.11027979510427","38.33072427762079","38.53198031614587","37.35879441308502","34.89519086254992","34.18170459849471","34.14366541974016","34.98866751046104","35.85115446201829","39.40429862235176","37.45519053813391","35.12724172856458","35.61805066133796","35.73068101208755","35.6265136135301","35.71129109011471","36.12082769597312","35.18883293568354","34.51373392291348","35.41284714250194","39.65166284335295","36.01889445884153","35.73388410346704","38.30837122841233","38.85714959873949","39.91561137957381","39.28459993900121","39.25188873527681","38.78020527733396","38.13143455418035","38.05247561619814","38.0562638269184"
"IMF.FAD:FM(5.0.0)","GX206.G2M_S13_POGDP_PT.A","OBS_VALUE","Emerging and Middle-Income Latin America","Expenditure, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.01956321217127","21.46827275167377","","","","","22.62738240868863","22.05638841462557","26.9882010642497","27.62081907406942","27.84691904997318","27.23106749684756","28.91589975815506","30.24830698814017","30.31509348680401","32.02736777371178","33.10778593059865","32.67770876619402","33.35763757294655","33.34378515088191","33.41778557573021","34.11586273717087","35.25217153762322","34.81560889200224","34.25721309495755","34.02362411672152","33.05601810588943","35.50511019623002","32.68793594202456","33.83804229931012","34.43745747913591","34.28510091439483","34.61357755610537","34.77607905125894","34.05651942771223","33.59439174270024","33.52833439967901","33.51958857971266","33.52059814224856"
"IMF.FAD:FM(5.0.0)","GX905.G1_S13_POGDP_PT.A","OBS_VALUE","Emerging and Middle-Income Europe","Revenue, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.90247409343209","35.02882172815981","34.0859541621327","35.10882753173946","34.5318541276434","34.35766239002384","34.12302681202082","35.93402710095259","36.48839581512837","36.47625515232831","36.44372950029422","33.91797869235385","33.88947159519261","34.95148485220972","34.87485217728728","34.27617130591004","34.23141316218483","33.20432802769846","33.47683399711415","33.46045943145333","34.93718353014657","34.84412441412009","34.29205351296739","34.3494569142577","33.4660812058088","34.24875837033943","34.75910719559582","35.17187750081709","35.34945932843341","35.11399090797112","34.84556707296159","34.7889592738864","34.82324571787909","34.84250057725268"
