"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","SECTOR","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"IMF.STA:FD(6.0.0)","KOR.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Korea, Republic of","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","1.26809620857239","1.40716791152954","1.22860383987427","1.24385166168213","1.18299555778503","1.36163532733917","1.04159998893738","1.10234987735748","0.9498490691185","0.891688764095306","1.00139355659485","1.02736186981201","1.27051222324371","1.40008676052094","1.43502330780029"
"IMF.STA:FD(6.0.0)","ARE.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","United Arab Emirates","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","","","","","","-0.0807071775197983","-0.0624315179884434","-0.131337955594063","-0.115923635661602","-0.0868012979626656","-0.0873692855238914","-0.0828349962830544","-0.0887222364544868","-0.0827175155282021","-0.0445016175508499"
"IMF.STA:FD(6.0.0)","KOR.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","Korea, Republic of","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","0.585315763950348","1.00953710079193","0.578517854213715","0.496395170688629","0.531312644481659","0.585780322551727","0.508429408073425","0.529002785682678","0.498703420162201","0.485135287046433","0.521970450878143","0.53167587518692","0.588215351104736","0.614788472652435","0.566809415817261"
"IMF.STA:FD(6.0.0)","SRB.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Serbia, Republic of","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","","0.452100187540054","0.536659002304077","0.435093641281128","0.409565776586533","0.403844624757767","0.355367630720139","0.569031953811646","0.549379408359528","0.551392495632172","0.587145090103149","0.700153112411499","0.705521702766418","0.707662224769592","0.816633105278015"
"IMF.STA:FD(6.0.0)","AFG.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","Afghanistan, Islamic Republic of","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","0.647536396980286","0.265050917863846","0.144005432724953","0.351764857769012","0.303060859441757","0.316451042890549","0.135695993900299","0.164555907249451","0","0","0.268035233020782","0.402343809604645","","",""
"IMF.STA:FD(6.0.0)","SRB.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","Serbia, Republic of","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","","0.298521161079407","0.3462293446064","0.268327057361603","0.264143139123917","0.269082754850388","0.263012796640396","0.366533428430557","0.362336963415146","0.357161402702332","0.378309965133667","0.423603594303131","0.416163921356201","0.409988880157471","0.453782051801682"
"IMF.STA:FD(6.0.0)","GBR.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","United Kingdom","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","2.7602219581604","2.64132642745972","2.49871635437012","2.27649402618408","2.29362320899963","2.3390040397644","2.26961660385132","2.36380839347839","2.46695494651794","2.45868396759033","2.44841694831848","2.39499688148499","2.3764910697937","2.42200565338135","2.5003080368042","2.13586115837097","2.54131841659546","2.39342093467712","2.31983327865601","2.29579043388367","2.20277953147888","2.01992106437683","1.90707397460938","1.81302833557129","1.73316967487335","2.07013082504272"
"IMF.STA:FD(6.0.0)","GBR.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","United Kingdom","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","","0.683439493179321","0.69111293554306","0.668720841407776","0.644669651985168","0.653282165527344","0.653721332550049","0.648381769657135","0.666204214096069","0.686273515224457","0.667742788791656","0.664112746715546","0.678873300552368","0.672479271888733","0.6679527759552","0.665109992027283","0.691518068313599","0.685373187065125","0.668839633464813","0.679769158363342","0.692827999591827","0.672827184200287","0.636109888553619","0.621912717819214","0.606198012828827","0.592365145683289","0.675643086433411"
"IMF.STA:FD(6.0.0)","ARE.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","United Arab Emirates","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","","","","","","-0.0663737058639526","-0.0493876524269581","-0.105014316737652","-0.113983407616615","-0.110155284404755","-0.0901798382401466","-0.0775788277387619","-0.0711048245429993","-0.0719309449195862","-0.0502988807857037"
"IMF.STA:FD(6.0.0)","BGR.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Bulgaria","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","0.0928295776247978","0.319417297840118","0.606936037540436","0.837292015552521","0.896604776382446","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:FD(6.0.0)","AFG.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Afghanistan, Islamic Republic of","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","1.21450436115265","0.333125770092011","0.142961606383324","0.319776326417923","0.340687453746796","0.21365886926651","0.106647670269012","0.233716428279877","0","0","0.417726904153824","0.674105048179626","","",""
"IMF.STA:FD(6.0.0)","IRN.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Iran, Islamic Republic of","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","","","","","0.033984798938036","0.0640912875533104","0.0628765001893044","0.0694930106401443","0.101011544466019","0.0499206930398941","0.0624683760106564","0.0550073757767677","0.0576904304325581","0.0458971820771694","0.0360958985984325","","","","","","","","","","",""
"IMF.STA:FD(6.0.0)","IRN.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","Iran, Islamic Republic of","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","","","","","","0.0322976782917976","0.0735803619027138","0.061719574034214","0.0689117833971977","0.114713475108147","0.0620580762624741","0.0758491829037666","0.0629747956991196","0.0559259727597237","0.0445685833692551","0.0360065922141075","","","","","","","","","","",""
"IMF.STA:FD(6.0.0)","BGR.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","Bulgaria","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","0.0891185626387596","0.248686030507088","0.354117870330811","0.459250152111053","0.466776221990585","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:FD(6.0.0)","BRA.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","Brazil","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","","","","","0.321991622447968","0.34489119052887","0.337366998195648","0.320209056138992","0.318446785211563","0.300665825605392","0.322243332862854","0.319480776786804","0.329974144697189","0.337432593107224","0.38908463716507"
"IMF.STA:FD(6.0.0)","SLV.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","El Salvador","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","0.323554068803787","0.367861896753311","0.418259024620056","0.576784193515778","0.506597220897675","0.541977226734161","0.477601796388626","0.525880396366119","0.537067174911499","0.528451442718506","0.504046082496643","0.470626711845398","0.342056006193161","0.461696118116379","0.55681037902832","0.528617739677429","0.559245526790619","0.588865756988525","0.71994811296463"
"IMF.STA:FD(6.0.0)","TUN.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Tunisia","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","","","0","1.8307009935379","2.03333330154419","3.93303728103638","3.12112832069397","","","","","","","",""
"IMF.STA:FD(6.0.0)","HUN.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Hungary","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","1.71813917160034","1.49142837524414","1.26795506477356","1.17735767364502","1.08119225502014","0.992822647094727","1.02927982807159","1.04239189624786","1.15870845317841","0.977584183216095","1.0355110168457","1.02190411090851","0.93412858247757","1.79580342769623","1.72399139404297","2.00055885314941","2.14619016647339","1.56097912788391","1.88238561153412","1.85891032218933","1.36605107784271","0.947463929653168","1.00215125083923","1.00705742835999","1.0514327287674","1.23225665092468"
"IMF.STA:FD(6.0.0)","PRY.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","Paraguay","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","0.501839220523834","0.469742119312286","0.533669769763947","0.452934503555298","0.542576014995575","0.542504131793976","0.435964107513428","0.554718136787415","0.580425381660461","0.449029475450516","0.454168349504471","0.362211406230927","0.507661998271942","0.519139409065247","0.628948450088501","0.678348183631897"
"IMF.STA:FD(6.0.0)","PRY.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Paraguay","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","0.989637315273285","0.867552161216736","0.874141335487366","0.78828638792038","1.09069323539734","1.03621590137482","0.838723957538605","1.49241197109222","1.26252734661102","0.961432337760925","0.961544334888458","0.670895040035248","1.15663588047028","1.12834048271179","1.68038880825043","1.8904687166214"
"IMF.STA:FD(6.0.0)","BLR.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Belarus, Republic of","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","0.19461652636528","0.191191971302032","0.257681548595428","0.416957020759583","0.507141828536987","0.396595418453217","0.364222407341003","0.503782033920288","0.535035371780396","0.449319273233414","0.428333610296249","0.325060814619064","0.221245557069778","0.16277089715004","0.158263504505157","0.197766974568367","0.221257075667381","0.254553258419037"
"IMF.STA:FD(6.0.0)","UGA.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","Uganda","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","","","","","","","","0.895574688911438","0.895759463310242","0.917754113674164","0.924608469009399","0.829619824886322","0.953957736492157","0.95867520570755","0.943304359912872","0.973146617412567","0.98218709230423","0.935556948184967","0.960899353027344","0.94313907623291","0.984288454055786","0.979250550270081","1.00470793247223","1.00138819217682","0.981203198432922","0.978451550006866","0.981454849243164"
"IMF.STA:FD(6.0.0)","JPN.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","Japan","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","0.356748968362808","0.33217003941536","0.338372021913528","0.330983817577362","0.342506259679794","0.39379671216011","0.392590820789337","0.380405336618423","0.3677918612957","0.354921042919159","0.361086338758469","0.363840967416763","0.345956027507782","0.272982358932495","0.29667329788208","0.369891762733459","0.341402739286423","0.386935502290726","0.370746999979019","0.373689562082291","0.352328598499298","0.34002822637558","0.334043502807617","0.326838731765747","0.321901708841324","0.329798996448517","0.462898761034012"
"IMF.STA:FD(6.0.0)","JPN.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Japan","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","0.705892086029053","0.672410130500793","0.663710176944733","0.625107109546661","0.671045362949371","0.770577311515808","0.715262830257416","0.680757224559784","0.674993693828583","0.637414157390594","0.611825525760651","0.586861073970795","0.523993670940399","0.376022338867188","0.410521119832993","0.598237335681915","0.544943511486053","0.625676512718201","0.594717442989349","0.600050032138824","0.562661468982697","0.517028629779816","0.508836507797241","0.492837280035019","0.475987017154694","0.495754659175873","0.870061457157135"
