"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.FAD:GDD(2.0.0)","BLZ.FL_S1311MIXED_POGDP_PT.A","OBS_VALUE","Belize","Debt instruments, Central government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","10.30","12.73","21.26","22.33","25.68","30.96","36.75","44.39","42.80","51.82","46.99","42.31","35.41","32.73","30.00","30.93","31.03","30.66","31.45","35.70","38.35","39.40","38.69","41.49","79.00","49.51","53.16","67.16","70.64","72.70","71.34","66.41","64.65","69.71","68.55","66.38","63.39","62.85","61.54","65.08","70.44","78.11","78.77","78.39","103.26","82.48","66.82","67.18","60.95"
"IMF.FAD:GDD(2.0.0)","BRB.FL_S1311MIXED_POGDP_PT.A","OBS_VALUE","Barbados","Debt instruments, Central government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","23.09","22.13","25.25","30.09","26.81","20.94","23.53","28.25","27.70","25.46","24.22","26.18","27.28","28.13","27.98","30.73","33.79","35.89","37.29","35.33","40.51","41.80","44.47","45.56","55.02","55.90","56.12","56.91","50.54","50.10","56.61","62.61","66.09","66.57","66.48","68.20","69.79","69.05","72.63","88.52","96.04","98.70","109.35","118.56","122.00","131.89","136.45","143.58","115.02","109.47","128.39","130.18","116.94","113.44","104.38"
"IMF.FAD:GDD(2.0.0)","BEL.FL_S1311MIXED_POGDP_PT.A","OBS_VALUE","Belgium","Debt instruments, Central government, Percent of GDP","Annual","Units","64.99","65.55","69.46","62.66","63.32","65.51","62.90","59.86","60.80","65.36","66.43","64.93","63.17","61.78","59.76","56.48","53.36","52.06","52.63","52.03","48.30","44.79","45.09","43.07","40.78","39.43","40.24","41.03","43.95","47.33","52.43","62.07","72.55","82.43","87.84","95.03","100.07","104.17","105.63","103.78","104.24","106.79","108.97","115.49","112.70","116.61","114.05","111.37","106.87","103.87","98.93","98.16","95.30","89.33","85.09","83.86","80.87","77.20","82.74","86.18","85.74","87.82","88.57","89.23","89.62","89.11","89.53","87.35","85.12","82.78","92.83","90.81","84.98","85.28","85.43"
"IMF.FAD:GDD(2.0.0)","BRB.B1GQ_V_XDC.A","OBS_VALUE","Barbados","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","","","","","","","","","","","0.13","0.13","0.14","0.15","0.17","0.18","0.20","0.21","0.24","0.27","0.31","0.37","0.41","0.50","0.69","1.02","1.15","1.20","1.35","1.63","2.10","2.31","2.41","2.56","2.79","2.92","3.21","3.53","3.75","4.15","4.17","4.18","4.03","4.27","4.45","4.70","5.03","5.33","6.11","6.42","6.62","6.61","6.73","6.96","7.51","8.43","9.40","10.55","10.80","10.13","10.28","10.60","10.47","10.68","10.73","10.58","10.66","11.03","11.26","11.58","10.34","10.55","12.51","13.44","14.33"
"IMF.FAD:GDD(2.0.0)","BLZ.B1GQ_V_XDC.A","OBS_VALUE","Belize","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","","","","","","","","","","","0.05","0.05","0.05","0.06","0.09","0.08","0.08","0.07","0.04","0.05","0.06","0.07","0.09","0.16","0.21","0.25","0.24","0.28","0.28","0.37","0.46","0.48","0.48","0.50","0.56","0.56","0.61","0.71","0.84","0.96","1.09","1.19","1.39","1.51","1.54","1.64","1.70","1.75","1.86","2.00","2.28","2.35","2.49","2.62","2.80","2.95","3.18","3.41","3.48","3.38","3.49","3.65","3.82","4.07","4.28","4.39","4.48","4.53","4.59","4.78","4.09","4.84","5.69","6.13","6.85"
"IMF.FAD:GDD(2.0.0)","BHS.FL_S1311MIXED_POGDP_PT.A","OBS_VALUE","Bahamas, The","Debt instruments, Central government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","6.34","6.48","6.77","7.47","6.47","6.24","7.74","9.74","10.41","12.04","11.37","10.85","9.36","10.44","11.60","12.64","12.31","12.19","12.32","11.31","11.83","12.28","13.22","15.39","17.88","19.76","20.38","20.50","20.23","20.85","20.03","18.67","18.71","18.21","18.82","20.85","21.40","22.04","22.78","22.99","25.46","30.91","33.69","35.31","36.45","45.11","47.02","49.16","51.64","54.35","61.61","60.48","85.19","89.43","83.67","79.70","77.79"
"IMF.FAD:GDD(2.0.0)","BLR.FL_S1311MIXED_POGDP_PT.A","OBS_VALUE","Belarus, Republic of","Debt instruments, Central government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.53","50.84","10.35","10.11","15.66","12.29","10.26","10.93","10.52","10.07","8.62","7.98","8.49","11.10","12.50","21.43","22.49","46.91","30.32","30.84","32.94","46.91","47.15","47.21","42.51","37.60","44.12","38.77","36.72","",""
"IMF.FAD:GDD(2.0.0)","BOL.FL_S1311MIXED_POGDP_PT.A","OBS_VALUE","Bolivia","Debt instruments, Central government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","69.24","62.91","73.60","77.50","50.56","53.54","64.80","76.49","76.38","84.84","91.98","111.79","144.26","150.59","160.21","192.10","140.04","135.90","118.01","100.03","104.85","94.62","94.11","85.40","89.05","83.04","73.55","65.55","62.22","62.50","74.32","82.98","86.69","95.64","89.81","82.16","54.38","40.03","36.79","39.21","37.64","35.33","35.39","36.10","37.60","40.90","46.49","51.26","53.08","58.63","77.97","81.40","80.13","90.78","100.86"
"IMF.FAD:GDD(2.0.0)","BHR.B1GQ_V_XDC.A","OBS_VALUE","Bahrain, Kingdom of","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","","","","","","","","","","","","","0.13","0.14","0.15","0.16","0.16","0.17","0.18","0.19","0.19","0.21","0.24","0.32","0.43","0.46","0.69","0.94","1.10","1.24","1.41","1.59","1.67","1.71","1.78","1.68","1.31","1.42","1.76","1.83","1.95","2.04","2.13","2.35","2.51","2.66","2.77","2.87","2.74","2.97","3.55","3.60","3.76","4.34","5.15","6.26","7.25","8.52","10.08","8.99","10.08","11.25","12.02","12.72","13.07","12.23","12.74","13.99","14.88","15.21","13.47","15.36","17.47","17.37","17.65"
"IMF.FAD:GDD(2.0.0)","ARM.FL_S1311MIXED_POGDP_PT.A","OBS_VALUE","Armenia, Republic of","Debt instruments, Central government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.79","46.51","45.20","39.20","39.60","38.06","38.25","33.02","26.45","24.40","18.73","16.10","16.15","40.16","39.67","42.01","41.23","40.86","43.69","48.70","56.75","58.94","55.65","53.67","67.36","63.35","49.25","50.72","50.30"
